,config,time,commit_num
167,sudo lrzip -z -L 9 -w 61 -N -12 -p 4,357.53,0
168,sudo lrzip -z -L 9 -w 61 -N -4 -p 1,809.2,0
169,sudo lrzip -z -L 9 -w 61 -N -4 -p 2,452.35,0
170,sudo lrzip -z -L 9 -w 61 -N -4 -p 3,377.83,0
171,sudo lrzip -z -L 9 -w 61 -N -4 -p 4,356.82,0
172,sudo lrzip -z -L 9 -w 61 -N 4 -p 1,815.81,0
173,sudo lrzip -z -L 9 -w 61 -N 4 -p 2,452.05,0
174,sudo lrzip -z -L 9 -w 61 -N 4 -p 3,384.43,0
175,sudo lrzip -z -L 9 -w 61 -N 4 -p 4,357.09,0
176,sudo lrzip -z -L 9 -w 61 -N 12 -p 1,807.73,0
177,sudo lrzip -z -L 9 -w 61 -N 12 -p 2,454.57,0
178,sudo lrzip -z -L 9 -w 61 -N 12 -p 3,376.82,0
179,sudo lrzip -z -L 9 -w 61 -N 12 -p 4,355.85,0
180,sudo lrzip -z -L 9 -w 81 -N -20 -p 1,810.24,0
181,sudo lrzip -z -L 9 -w 81 -N -20 -p 2,452.75,0
182,sudo lrzip -z -L 9 -w 81 -N -20 -p 3,375.41,0
183,sudo lrzip -z -L 9 -w 81 -N -20 -p 4,354.81,0
184,sudo lrzip -z -L 9 -w 81 -N -12 -p 1,807.2,0
185,sudo lrzip -z -L 9 -w 81 -N -12 -p 2,450.07,0
186,sudo lrzip -z -L 9 -w 81 -N -12 -p 3,383.78,0
187,sudo lrzip -z -L 9 -w 81 -N -12 -p 4,359.77,0
188,sudo lrzip -z -L 9 -w 81 -N -4 -p 1,810.74,0
189,sudo lrzip -z -L 9 -w 81 -N -4 -p 2,455.09,0
190,sudo lrzip -z -L 9 -w 81 -N -4 -p 3,381.84,0
191,sudo lrzip -z -L 9 -w 81 -N -4 -p 4,359.94,0
192,sudo lrzip -z -L 9 -w 81 -N 4 -p 1,805.82,0
193,sudo lrzip -z -L 9 -w 81 -N 4 -p 2,449.6,0
194,sudo lrzip -z -L 9 -w 81 -N 4 -p 3,378.06,0
195,sudo lrzip -z -L 9 -w 81 -N 4 -p 4,361.39,0
