,commit,time,command,running_time
104,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -12 -p 1,690.39
105,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -12 -p 2,393.32
106,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -12 -p 3,363.07
107,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -12 -p 4,322.52
108,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -4 -p 1,692.65
109,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -4 -p 2,404.35
110,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -4 -p 3,356.46
111,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -4 -p 4,325.38
112,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 4 -p 1,692.61
113,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 4 -p 2,397.04
114,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 4 -p 3,362.16
115,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 4 -p 4,332.53
116,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 12 -p 1,692.65
117,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 12 -p 2,406.68
118,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 12 -p 3,366.52
119,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N 12 -p 4,324.03
120,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -20 -p 1,799.2
121,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -20 -p 2,449.63
122,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -20 -p 3,392.66
123,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -20 -p 4,367.06
124,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -12 -p 1,800.0
125,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -12 -p 2,451.24
126,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -12 -p 3,383.52
127,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -12 -p 4,353.04
128,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -4 -p 1,798.75
129,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -4 -p 2,443.03
130,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -4 -p 3,400.17
131,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N -4 -p 4,352.5
132,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 4 -p 1,798.84
133,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 4 -p 2,449.94
134,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 4 -p 3,392.56
135,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 4 -p 4,353.06
136,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 12 -p 1,799.94
137,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 12 -p 2,449.42
138,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 12 -p 3,399.59
139,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 21 -N 12 -p 4,362.43
140,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -20 -p 1,800.3
141,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -20 -p 2,458.72
142,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -20 -p 3,381.77
143,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -20 -p 4,358.37
144,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -12 -p 1,799.52
145,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -12 -p 2,439.02
146,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -12 -p 3,380.63
147,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -12 -p 4,352.63
148,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -4 -p 1,799.45
149,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -4 -p 2,450.38
150,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -4 -p 3,389.9
151,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N -4 -p 4,357.21
152,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 4 -p 1,802.3
153,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 4 -p 2,453.06
154,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 4 -p 3,388.26
155,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 4 -p 4,359.91
156,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 12 -p 1,800.3
157,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 12 -p 2,438.58
158,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 12 -p 3,378.59
159,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 41 -N 12 -p 4,366.77
160,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -20 -p 1,800.6
161,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -20 -p 2,447.03
162,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -20 -p 3,380.96
163,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -20 -p 4,362.23
164,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -12 -p 1,797.46
165,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 61 -N -12 -p 2,443.74
